,electricity_price
0,0.24381113
1,0.23688542
2,0.23004128999999998
3,0.22817263000000002
4,0.22669181
5,0.22837931
6,0.24591915
7,0.27527386
8,0.28643598000000003
9,0.29637834
10,0.2774551
11,0.27935791
12,0.26685111
13,0.25869132
14,0.25875433000000003
15,0.26635152
16,0.30057039
17,0.35101255000000003
18,0.34407649
19,0.33864261999999995
20,0.32375964
21,0.29065699
22,0.28667168
23,0.28240756
24,0.23923023000000002
25,0.22574455000000002
26,0.21715732
27,0.21731011
28,0.21776391
29,0.2321333
30,0.27128948
31,0.28511653
32,0.28335418
33,0.27811263
34,0.29331222
35,0.28558418
36,0.28031537
37,0.27533822
38,0.27286844
39,0.27295177
40,0.29003053
41,0.31959353
42,0.29866641
43,0.29870764
44,0.28244552
45,0.26192448
46,0.24187925
47,0.23051203999999997
48,0.23400917
49,0.21221512
50,0.20083148
51,0.20240022
52,0.20946152999999998
53,0.23511922
54,0.32491791
55,0.35641721
56,0.34937398999999997
57,0.33076633
58,0.33786619
59,0.32415855
60,0.31547625
61,0.31330934
62,0.31384446
63,0.30708376000000004
64,0.33355539
65,0.37515407
66,0.35941573
67,0.33982913000000003
68,0.32113283000000004
69,0.28864303
70,0.26717056
71,0.24029944
72,0.24145648
73,0.22913249
74,0.22198086
75,0.22785273
76,0.23576561000000001
77,0.27304472
78,0.32761732000000005
79,0.38047882
80,0.39737585000000003
81,0.38588639
82,0.38293652
83,0.37392285000000003
84,0.36949278
85,0.35774389
86,0.34739055999999996
87,0.33441406
88,0.37365321
89,0.44011688
90,0.39230168
91,0.36392307
92,0.36321784
93,0.32370421
94,0.29208125
95,0.27139527999999996
96,0.27326592
97,0.25394901000000003
98,0.23998183
99,0.25213777
100,0.26831382000000004
101,0.29824038999999997
102,0.44471553999999996
103,0.45715247
104,0.42844275000000004
105,0.40942120000000004
106,0.40542171000000005
107,0.37109367
108,0.35840671
109,0.35525218000000003
110,0.34349574
111,0.35390970000000005
112,0.44008147000000003
113,0.57403638
114,0.47530366999999996
115,0.43472183999999997
116,0.42113161
117,0.38466813
118,0.34187782
119,0.32788858
120,0.29545575
121,0.29696304
122,0.2925606
123,0.30444055999999997
124,0.34025817
125,0.37058473
126,0.46733139
127,0.51858512
128,0.46454452
129,0.42348129999999995
130,0.39764237999999996
131,0.38384453
132,0.3713692
133,0.36407291
134,0.35371727999999997
135,0.36318126999999994
136,0.41670369
137,0.58710891
138,0.47050677999999996
139,0.45515496
140,0.4405865
141,0.39775221
142,0.37039045000000004
143,0.36759643
144,0.38000853999999995
145,0.37124771
146,0.36051946
